gene_id,median_tpm
ENSG00000223972,0.0
ENSG00000227232,1.76541
ENSG00000278267,0.0
ENSG00000243485,0.0
ENSG00000237613,0.0
ENSG00000268020,0.0332748
ENSG00000240361,0.0433574
ENSG00000186092,0.060538
ENSG00000238009,0.0168633
ENSG00000233750,0.0228274
ENSG00000268903,3.17038
ENSG00000269981,4.60361
ENSG00000239906,0.0
ENSG00000241860,0.0443455
ENSG00000222623,0.0
ENSG00000241599,0.0
ENSG00000279928,0.0445654
ENSG00000279457,3.13668
ENSG00000273874,0.0
ENSG00000228463,0.19569
ENSG00000236679,0.0
ENSG00000236743,0.0
ENSG00000236601,0.0
ENSG00000237094,0.0786232
ENSG00000269732,0.0779819
ENSG00000278566,0.0397956
ENSG00000233653,0.0
ENSG00000250575,0.0
ENSG00000278757,0.0
ENSG00000230021,0.0338475
ENSG00000235146,0.0
ENSG00000225972,9.51387
ENSG00000225630,754.912
ENSG00000237973,81.7285
ENSG00000229344,18.395
ENSG00000240409,18.8279
ENSG00000248527,5440.79
ENSG00000198744,21.4339
ENSG00000268663,0.0568998
ENSG00000273547,0.0331044
ENSG00000283574,0.0
ENSG00000229376,0.151897
ENSG00000228327,1.11465
ENSG00000223181,0.0
ENSG00000229905,0.0534193
ENSG00000237491,0.389295
ENSG00000230092,0.417471
ENSG00000177757,0.138227
ENSG00000228794,3.51756
ENSG00000225880,2.85093
ENSG00000230368,0.0477692
ENSG00000234711,0.0664664
ENSG00000283040,0.0380699
ENSG00000272438,0.157135
ENSG00000230699,0.139494
ENSG00000241180,0.0
ENSG00000223764,1.53688
ENSG00000187634,1.63191
ENSG00000188976,27.0626
ENSG00000187961,5.68244
ENSG00000187583,0.425511
ENSG00000187642,0.259384
ENSG00000272512,0.718519
ENSG00000188290,3.213
ENSG00000187608,28.9351
ENSG00000231702,0.0
ENSG00000224969,0.122417
ENSG00000188157,13.1002
ENSG00000217801,0.568393
ENSG00000273443,0.239553
ENSG00000237330,0.0523026
ENSG00000131591,4.0789
ENSG00000223823,0.084504
ENSG00000207730,0.0
ENSG00000207607,0.0
ENSG00000198976,0.0
ENSG00000272141,0.672876
ENSG00000205231,0.0391008
ENSG00000162571,0.069347
ENSG00000186891,0.458
ENSG00000186827,0.607381
ENSG00000078808,106.336
ENSG00000176022,8.79121
ENSG00000184163,1.20186
ENSG00000260179,0.449799
ENSG00000160087,13.5925
ENSG00000230415,2.24901
ENSG00000162572,5.87678
ENSG00000131584,20.5668
ENSG00000278073,0.0
ENSG00000169972,8.39923
ENSG00000127054,20.7793
ENSG00000283712,0.0
ENSG00000240731,6.0497
ENSG00000224051,40.0903
ENSG00000169962,0.57577
ENSG00000107404,34.4933
ENSG00000284372,0.0
ENSG00000162576,6.92637
ENSG00000175756,74.3371
ENSG00000223663,0.321608
ENSG00000221978,115.191
ENSG00000224870,20.0444
ENSG00000242485,39.8737
ENSG00000272455,2.71712
ENSG00000235098,0.609268
ENSG00000225905,0.138415
ENSG00000205116,0.112991
ENSG00000225285,1.52182
ENSG00000179403,32.9391
ENSG00000215915,2.79422
ENSG00000160072,14.0966
ENSG00000197785,13.2302
ENSG00000205090,0.447633
ENSG00000160075,25.8181
ENSG00000215014,0.506287
ENSG00000274481,0.0
ENSG00000228594,0.38128
ENSG00000272106,3.99274
ENSG00000197530,15.4468
ENSG00000189409,0.232386
ENSG00000248333,10.7018
ENSG00000272004,0.0
ENSG00000189339,9.63684
ENSG00000269737,0.776909
ENSG00000215914,0.791487
ENSG00000008128,10.4517
ENSG00000227775,1.96443
ENSG00000215790,1.19303
ENSG00000008130,51.4891
ENSG00000078369,50.2296
ENSG00000231050,0.274732
ENSG00000169885,1.83434
ENSG00000178821,4.98971
ENSG00000142609,0.437345
ENSG00000233542,0.0
ENSG00000187730,0.0988729
ENSG00000226969,0.0
ENSG00000067606,2.76152
ENSG00000271806,0.0439781
ENSG00000182873,2.06484
ENSG00000162585,5.75331
ENSG00000234396,0.587957
ENSG00000157933,15.6877
ENSG00000116151,0.721353
