gene_id,median_tpm
ENSG00000223972,0.0
ENSG00000227232,2.64743
ENSG00000278267,0.0
ENSG00000243485,0.0
ENSG00000237613,0.0
ENSG00000268020,0.0
ENSG00000240361,0.0
ENSG00000186092,0.0
ENSG00000238009,0.0964428
ENSG00000233750,0.795466
ENSG00000268903,134.312
ENSG00000269981,194.869
ENSG00000239906,6.70072
ENSG00000241860,0.274032
ENSG00000222623,0.0
ENSG00000241599,0.0
ENSG00000279928,0.266855
ENSG00000279457,5.12505
ENSG00000273874,0.0
ENSG00000228463,0.857589
ENSG00000236679,0.0
ENSG00000236743,0.0
ENSG00000236601,0.0
ENSG00000237094,0.274418
ENSG00000269732,0.0
ENSG00000278566,0.0
ENSG00000233653,0.0
ENSG00000250575,0.3369
ENSG00000278757,0.0
ENSG00000230021,0.00845881
ENSG00000235146,0.0
ENSG00000225972,2.89584
ENSG00000225630,53.1928
ENSG00000237973,9.96404
ENSG00000229344,3.78611
ENSG00000240409,2.62958
ENSG00000248527,459.197
ENSG00000198744,4.39504
ENSG00000268663,0.0
ENSG00000273547,0.0
ENSG00000283574,0.0
ENSG00000229376,0.0265831
ENSG00000228327,1.93888
ENSG00000223181,0.0
ENSG00000229905,0.0
ENSG00000237491,0.108981
ENSG00000230092,0.518276
ENSG00000177757,0.0748165
ENSG00000228794,0.814233
ENSG00000225880,1.25117
ENSG00000230368,0.0201042
ENSG00000234711,0.034503
ENSG00000283040,0.0
ENSG00000272438,0.0
ENSG00000230699,0.0229721
ENSG00000241180,0.0
ENSG00000223764,0.0336503
ENSG00000187634,0.046089
ENSG00000188976,14.9889
ENSG00000187961,3.5812
ENSG00000187583,0.496924
ENSG00000187642,0.172058
ENSG00000272512,0.0936171
ENSG00000188290,1.20548
ENSG00000187608,28.8048
ENSG00000231702,0.0
ENSG00000224969,0.0
ENSG00000188157,0.575363
ENSG00000217801,0.315675
ENSG00000273443,0.0
ENSG00000237330,0.0193373
ENSG00000131591,2.62856
ENSG00000223823,0.106732
ENSG00000207730,0.0
ENSG00000207607,0.0
ENSG00000198976,0.0
ENSG00000272141,0.03462
ENSG00000205231,0.0146896
ENSG00000162571,0.0343699
ENSG00000186891,6.31375
ENSG00000186827,5.45951
ENSG00000078808,64.3248
ENSG00000176022,4.41826
ENSG00000184163,0.834799
ENSG00000260179,0.323274
ENSG00000160087,14.369
ENSG00000230415,0.547205
ENSG00000162572,1.2831
ENSG00000131584,16.8516
ENSG00000278073,0.0
ENSG00000169972,7.46617
ENSG00000127054,21.2667
ENSG00000283712,0.0
ENSG00000240731,3.02414
ENSG00000224051,13.0755
ENSG00000169962,0.91979
ENSG00000107404,10.1634
ENSG00000284372,0.0
ENSG00000162576,0.800333
ENSG00000175756,60.9225
ENSG00000223663,0.0
ENSG00000221978,32.4192
ENSG00000224870,6.87798
ENSG00000242485,22.8821
ENSG00000272455,0.932352
ENSG00000235098,0.0648365
ENSG00000225905,0.0
ENSG00000205116,0.0
ENSG00000225285,0.0
ENSG00000179403,0.113017
ENSG00000215915,0.155871
ENSG00000160072,8.0319
ENSG00000197785,4.89505
ENSG00000205090,0.429757
ENSG00000160075,34.2475
ENSG00000215014,0.176847
ENSG00000274481,0.0
ENSG00000228594,1.91201
ENSG00000272106,2.54362
ENSG00000197530,13.1708
ENSG00000189409,0.240423
ENSG00000248333,17.6955
ENSG00000272004,0.0
ENSG00000189339,13.8922
ENSG00000269737,1.1366
ENSG00000215914,0.492894
ENSG00000008128,14.1976
ENSG00000227775,3.06249
ENSG00000215790,1.67386
ENSG00000008130,112.687
ENSG00000078369,152.405
ENSG00000231050,0.23585
ENSG00000169885,0.174714
ENSG00000178821,0.069985
ENSG00000142609,0.00673431
ENSG00000233542,0.0
ENSG00000187730,0.0543746
ENSG00000226969,0.0
ENSG00000067606,2.62529
ENSG00000271806,0.212368
ENSG00000182873,4.25904
ENSG00000162585,5.49337
ENSG00000234396,0.0
ENSG00000157933,11.8519
ENSG00000116151,0.200105
ENSG00000272161,0.0
ENSG00000269896,0.349875
ENSG00000272420,0.204029
ENSG00000157916,30.5262
ENSG00000157911,2.0224
ENSG00000149527,2.98193
ENSG00000224387,0.166525
ENSG00000229393,0.168425
ENSG00000157881,10.4403
ENSG00000197921,0.0
